"scenario","year","hcv_median","hcv_lo","hcv_hi","dc_median","dc_lo","dc_hi","hcc_median","hcc_lo","hcc_hi"
"prison_only_treatment",2018,10363.0497969878,9374.24862085551,11506.4059732256,468.575472417982,419.354402829665,523.079790534758,122.830238824054,110.132686792383,137.036246448831
"prison_only_treatment",2019,9681.91102492929,8763.51238671688,10752.5291067365,454.943174438406,407.24569978594,508.23585356133,118.73649990924,106.394413623306,132.45033692195
"prison_only_treatment",2020,9131.28774239141,8268.60115805487,10142.1893804372,441.366694825968,395.053441269612,493.337338394446,114.468138629689,102.504470790673,127.680657543178
"prison_only_treatment",2021,8657.56515547688,7839.88712174209,9613.40111147473,427.871880632727,383.124688280516,478.556299206667,110.20042735766,98.6690524787635,122.977015035411
"prison_only_treatment",2022,8234.29310944563,7456.24750334681,9140.88943916772,414.441923128653,371.192831859244,463.857359123899,106.102666675756,94.9764421126642,118.480916669527
"prison_only_treatment",2023,7847.78021139872,7107.30878744007,8711.68343599757,401.195745664352,359.318672787057,449.224051031543,102.170680994697,91.4377161629387,114.127476550772
"prison_only_treatment",2024,7495.31646247162,6786.94526592145,8318.42483215329,388.123014196075,347.558662812637,434.636073323295,98.3518544972227,88.0534535987037,109.924628849705
"prison_only_treatment",2025,7170.06751839209,6491.03533380269,7957.02969295823,375.196134121209,335.910391890789,420.187268646552,94.6556615102584,84.7862192082972,105.854025840057
"prison_only_treatment",2026,6865.8873923922,6216.57751238522,7621.92871171399,362.334610582434,324.397550226448,405.893179641537,91.0830666797593,81.5805143586691,101.89723594885
"prison_only_treatment",2027,6581.83997930765,5961.27526764077,7310.02059472997,349.670418942509,313.036226443721,391.775235770451,87.5925319648481,78.4683027309306,98.0495204068483
"prison_only_treatment",2028,6317.99949530883,5723.30747999043,7019.43771042403,337.166839431418,301.846656088637,377.860113926035,84.2112510322762,75.4474670423731,94.3089919621609
"prison_only_treatment",2029,6071.9381292696,5501.18650110683,6748.36643827192,324.831405115909,290.851942118627,364.178111022897,80.934495517565,72.5177492158789,90.668077439858
