theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12
1.8423774,-2.4534764,-2.831297,-0.58626574,2.2931514,-1.5655979,-1.7918806,-0.07262343,0.22415453,1.6296016,2.9804623,4.53821
1.8417047,-2.454854,-2.8289337,-0.58446974,2.321284,-0.86856514,-1.792083,-0.071385585,0.21970862,1.6197232,2.9775841,4.5870295
1.8423631,-2.455004,-2.8248322,-0.5867465,2.2998157,-1.4120684,-1.7927779,-0.07248336,0.21875125,1.6210147,2.9911683,4.544756
1.8400214,-2.4554439,-2.8300536,-0.58380336,2.292516,-1.8880578,-1.790218,-0.069184095,0.22123186,1.6193191,2.9873745,4.5251117
1.8442475,-2.4549997,-2.8176463,-0.5834557,2.2781694,-0.78316563,-1.7929794,-0.07051692,0.22313729,1.6274385,2.9804962,4.5734916
1.8419106,-2.4566038,-2.8283753,-0.5834363,2.2570071,-1.7859123,-1.7991647,-0.07199107,0.2257013,1.6196018,2.9820476,4.5256057
1.8302882,-2.4570284,-2.827087,-0.6097734,2.256905,-0.4619996,-1.7929143,-0.068932086,0.20017175,1.6130172,2.9299707,4.62021
1.8388621,-2.4563217,-2.8164957,-0.6030447,2.2714553,-1.1871579,-1.7931643,-0.0710047,0.21190804,1.6107005,2.954409,4.5367203
1.840939,-2.4593074,-2.830949,-0.6066788,2.2942588,-0.6926029,-1.7985206,-0.07104609,0.20845543,1.6209948,2.9667583,4.5739284
1.8435965,-2.4547575,-2.8340642,-0.5837968,2.4159966,-2.12174,-1.7941415,-0.073212385,0.2217724,1.6198052,3.0068336,4.5308743
1.841984,-2.4519856,-2.828335,-0.5923032,2.2908466,-1.1109622,-1.7961766,-0.07154214,0.22217953,1.6296371,2.9791646,4.5577836
1.8363388,-2.4593542,-2.8302574,-0.57501876,2.2874575,-1.706969,-1.7965242,-0.067554794,0.22684996,1.6264875,2.9817412,4.551652
1.8419616,-2.456797,-2.8307786,-0.58412844,2.315109,-1.3975362,-1.7956018,-0.07450484,0.21900581,1.6179532,2.989153,4.5458083
1.840169,-2.455398,-2.8256211,-0.59277713,2.2853155,-1.4727811,-1.7949562,-0.07196846,0.22372177,1.620816,2.9857674,4.536459
1.8410978,-2.4557557,-2.8268025,-0.5830949,2.329693,-1.499527,-1.7923896,-0.07063038,0.22006246,1.6232907,2.9980004,4.552776
1.8407534,-2.4537063,-2.8326142,-0.58289135,2.2958174,-1.8374236,-1.7954762,-0.07496042,0.2226679,1.6259285,2.974421,4.5188274
1.8414254,-2.4543908,-2.8313017,-0.58258164,2.309434,-1.4292922,-1.7933215,-0.07249375,0.21664512,1.6268969,2.994565,4.534764
1.8411878,-2.4516816,-2.836245,-0.5784087,2.27947,-1.2597584,-1.7900321,-0.070606925,0.2163826,1.6166099,2.9876106,4.547834
