theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12
1.7409507,-2.5075417,-2.9489803,-0.7844213,2.1748729,-0.3132337,-1.7791454,-0.09515128,0.251038,1.5872673,3.0926368,4.7799473
1.7476727,-2.4970384,-2.9432094,-0.7793742,2.141126,-0.56795096,-1.7885712,-0.09871583,0.22885586,1.6728368,2.9792376,4.717544
1.7492318,-2.5103965,-2.9474845,-0.79495585,2.1141229,-3.4305568,-1.7861983,-0.08960402,0.21491352,1.6098175,2.995125,4.706904
1.7405082,-2.517768,-2.9339995,-0.7717384,2.1588547,-0.04145441,-1.7881764,-0.07661861,0.21990468,1.5916697,3.0981839,4.8448915
1.7556268,-2.4885285,-2.9291246,-0.76217544,2.183096,-1.9750041,-1.7872447,-0.093848735,0.21692844,1.6265734,3.04276,4.7588444
1.7347852,-2.5194259,-2.942413,-0.7611478,2.1113245,-0.9929679,-1.7761538,-0.08554018,0.25455153,1.6871918,2.921938,4.757213
1.7339071,-2.5166662,-2.9469087,-0.7841805,2.1306775,0.04826411,-1.7818413,-0.09187594,0.23288547,1.6539333,3.0616522,4.8688345
1.7286448,-2.5251634,-2.9348245,-0.76175594,2.1476371,-0.15498526,-1.7805641,-0.0916554,0.22196724,1.6472944,3.0189095,4.86616
1.7491924,-2.494498,-2.9808946,-0.7710527,2.1323886,-0.7473218,-1.7729015,-0.10407292,0.20557421,1.5545038,3.0623436,4.7042184
1.7599568,-2.5063932,-2.9404488,-0.7577965,2.149654,-3.8481138,-1.7778281,-0.08317449,0.24648035,1.6322871,3.0586276,4.7207375
1.7308856,-2.496915,-2.927361,-0.75471276,2.1683483,0.6611023,-1.7814829,-0.09357577,0.24275984,1.6714326,3.0979316,4.9802957
1.7249607,-2.5008647,-2.9175463,-0.7804954,2.1637926,-2.8560014,-1.7819024,-0.09754706,0.24073084,1.6052052,3.0052757,4.7557783
1.7360468,-2.519269,-2.9416046,-0.7701432,2.105631,-1.551714,-1.7808857,-0.08777511,0.24452011,1.5979364,3.0085628,4.7885056
1.7362978,-2.5049152,-2.9122567,-0.73634154,2.1914206,-3.0927598,-1.7853034,-0.100076705,0.16694891,1.5666432,3.0528076,4.7426386
1.7320299,-2.510448,-2.946002,-0.7723138,2.2535615,-1.778741,-1.8011334,-0.08540597,0.23765187,1.5873048,3.1038134,4.6973376
1.7264818,-2.511842,-2.9428017,-0.7530278,2.1431181,-3.1262662,-1.7723404,-0.08279641,0.26989847,1.5903765,2.9901762,4.6291733
1.7458566,-2.5029516,-2.9342804,-0.76125556,2.2097023,0.31474832,-1.7815742,-0.085867256,0.21631446,1.6644053,3.0761938,4.9095135
1.7451127,-2.5058987,-2.952955,-0.7687717,2.2189717,-1.9441618,-1.7826971,-0.081488214,0.24250749,1.6326808,3.0375261,4.733687
1.7130344,-2.526686,-2.9110827,-0.7933911,2.243084,0.2709788,-1.7779822,-0.08643186,0.13785672,1.5059516,3.1182215,5.13923
1.7446705,-2.5076718,-2.9445925,-0.7816689,2.1316195,-1.6876506,-1.7855394,-0.08237957,0.22123885,1.6619799,3.0029175,4.7218084
1.7512003,-2.5126262,-2.9293962,-0.7461032,2.0242429,-0.64663815,-1.7747945,-0.08231453,0.24602604,1.6693507,2.9096007,4.8043475
1.7396638,-2.5132477,-2.9452796,-0.7726879,2.1095247,-2.554385,-1.7796493,-0.08566246,0.2349907,1.6767867,3.0792885,4.7307167
1.7345982,-2.5057297,-2.9248397,-0.75977,2.1689954,-4.4421215,-1.7799847,-0.09999609,0.23292057,1.6332036,3.0339515,4.7640634
1.7465005,-2.5106955,-2.9303005,-0.7767524,2.1375928,0.09672853,-1.783143,-0.08350825,0.2327087,1.6472687,3.0185578,4.864489
1.7450674,-2.5059118,-2.9364047,-0.76320326,2.1500328,-3.127035,-1.7852091,-0.084063634,0.26366106,1.6508037,2.9974012,4.7502074
1.7283391,-2.5161712,-2.9430475,-0.7557954,2.1141467,-3.1460166,-1.7802387,-0.082029186,0.2140113,1.576658,3.0553343,4.7512765
1.7278894,-2.5068521,-2.9383717,-0.7628987,2.0677135,-1.1234372,-1.7976034,-0.092800274,0.23711158,1.6435934,2.9446182,4.7376966
1.7463877,-2.508409,-2.9431193,-0.7667049,2.1499264,0.7814367,-1.7871406,-0.08391218,0.25267068,1.6730883,2.9923422,5.0665417
1.7502037,-2.5064504,-2.9354742,-0.75918406,2.158786,-2.5269613,-1.7958592,-0.094148606,0.24684054,1.6203744,3.029442,4.7155237
1.7249575,-2.5161388,-2.9312887,-0.7601894,2.0898917,1.3569121,-1.7785711,-0.08312837,0.25102004,1.6335106,2.9280932,5.2588377
1.755487,-2.5023491,-2.9331398,-0.7621552,2.2061415,-2.4672642,-1.7763749,-0.089500085,0.24492927,1.6138558,3.0958817,4.7571487
1.738597,-2.5074615,-2.9208384,-0.7730179,2.1459942,-0.108279206,-1.7790619,-0.09411154,0.25710878,1.5795519,3.0111084,4.796633
1.7420843,-2.5059698,-2.935684,-0.76432395,2.1402493,-1.5018655,-1.7870133,-0.08399415,0.23664623,1.6459852,3.0391355,4.729162
1.7393379,-2.51968,-2.9339767,-0.75621307,2.130664,0.9776099,-1.7828006,-0.08909574,0.24190879,1.6989894,3.026488,5.066984
1.7504109,-2.5002835,-2.9478633,-0.77632433,2.1436784,-2.172913,-1.7953048,-0.08542704,0.25900325,1.5619848,3.048462,4.8287945
1.733106,-2.5089514,-2.9283266,-0.76545167,2.1505606,-0.44405395,-1.7840506,-0.08978661,0.22876613,1.6862838,3.0531766,4.8283415
1.7431105,-2.5012665,-2.9537203,-0.7622222,2.0491855,-1.3227142,-1.7760773,-0.08465129,0.20510837,1.6302929,2.8380723,4.7336235
1.7171578,-2.5193186,-2.8960624,-0.7963484,2.1828651,-2.2098536,-1.7787218,-0.086144686,0.21673399,1.5525168,3.0764434,4.714353
1.7343282,-2.5060024,-2.9417005,-0.7792747,2.0929565,-3.3549902,-1.7777241,-0.08075927,0.25913164,1.6340998,3.006204,4.7358766
1.7345585,-2.5040483,-2.9604826,-0.76387095,2.163261,-1.8343313,-1.7792944,-0.097493984,0.24926245,1.6592984,3.0436978,4.7961373
1.7337205,-2.5126824,-2.9470224,-0.7669298,2.200771,-1.7352432,-1.7904457,-0.09604613,0.24283624,1.613953,3.102943,4.706648
1.7408444,-2.5187619,-2.9317787,-0.7641707,2.0575614,-2.0502136,-1.7815348,-0.09298616,0.24508914,1.6420267,3.0098038,4.7108135
1.750279,-2.4879708,-2.9499934,-0.75810313,2.1750896,-3.6738496,-1.7961758,-0.09313436,0.22681059,1.6567724,3.0632865,4.734741
1.7402698,-2.5149038,-2.9509532,-0.7671852,2.1628566,-1.914453,-1.7791172,-0.08898745,0.20096797,1.6045567,2.9812367,4.7035193
1.7531157,-2.513747,-2.9466646,-0.76385665,2.1406555,-1.1918149,-1.7857249,-0.09293167,0.23422512,1.6649839,3.0272424,4.769141
