"source","p1","p2","p3","p4","p5","p6","N1","N2","N3","N4","N5","N6"
"npe",0.108322187511415,0.16819558405128,0.264261058437906,0.428109652418989,0.490633479231951,0.39325866426767,98.8864086217362,1241.38469501523,1425.23169271477,1749.96004877403,1637.24412978411,528.138092000825
"npe",0.113408607584587,0.176720671931306,0.273723748135783,0.436085384570098,0.47683623860456,0.373036321575652,99.130636055056,1241.10546975627,1444.91449422581,1806.31183273641,1505.74515966752,489.761064969836
"npe",0.115346182912379,0.179220280391739,0.27535532056044,0.437005954854271,0.487067942030965,0.382909125886414,98.9648197110637,1243.15114134055,1453.29404935745,1807.37415715314,1545.34303768722,499.732859232434
"npe",0.110188270013733,0.171026916759557,0.267612775383493,0.426503765426421,0.484099583258271,0.387352909510893,97.951015960159,1247.15753063727,1453.96415626703,1863.69722101336,1692.1859694127,542.601885318944
"npe",0.109961109555143,0.173868278323128,0.272981972019292,0.437476095640491,0.486626106682136,0.394007412391081,98.9835424961591,1244.36845453453,1451.90674164687,1747.43721693715,1629.39446981372,539.723013233626
"npe",0.110467332025428,0.173923524610364,0.268770784825205,0.429672538356048,0.489451456968758,0.395751055501333,99.2027092436217,1239.38628110905,1459.63487230379,1805.02594420964,1585.43801096526,511.329450598316
"npe",0.115267403595058,0.180069444216994,0.281271641658883,0.446799160330996,0.489280562737687,0.38725716917018,97.911604890903,1241.64073166342,1459.58501307121,1741.30184672196,1550.41538791807,500.98095072039
"npe",0.110122340060634,0.17195015546057,0.266020924403763,0.425676223055849,0.464393581251823,0.362853324177148,98.7720743084098,1237.63054228925,1461.00170063057,1780.22561007277,1563.2421962037,509.656000269021
"npe",0.113138258795778,0.175145279326771,0.268645560102499,0.42896630481616,0.48235095187071,0.384563387487851,99.0043700467479,1240.27920911639,1461.98481639402,1776.61312276358,1567.90879300507,502.976618463284
"npe",0.112118805194389,0.17674862063861,0.275756565204946,0.438512989954961,0.486708274440475,0.392367130767884,98.2184822438942,1243.34573699507,1452.8322234676,1820.66882835944,1611.65577106131,513.309783243119
"npe",0.109228796178792,0.173036170681618,0.267125248958924,0.428085152248998,0.476510245776807,0.379858641361496,98.0022976632997,1236.15967188389,1457.01920199984,1859.89092165909,1645.21650332114,529.103240206505
"npe",0.108143232126113,0.170419769821281,0.267024570120724,0.430069005371227,0.479344441132191,0.3828814930565,98.3579094123281,1251.83596857195,1472.68781616283,1818.81026326436,1673.61347732976,536.243786273604
"npe",0.110438662593417,0.173009832405166,0.27297710562388,0.434831615291888,0.488125944833597,0.393317823514936,99.1846781658097,1256.01841784244,1441.25462661029,1740.30739699119,1599.79654157097,515.617460126729
"npe",0.110912965642291,0.177681594753213,0.277254885037985,0.442177561292025,0.492218703699726,0.385786976736558,99.0544944908105,1247.30082231273,1418.1300883129,1726.85376510146,1526.49167252298,496.323113808191
"npe",0.109051675052032,0.172110823621647,0.267491602570619,0.42853874368413,0.480263893214893,0.388516879695096,99.3847400239937,1248.39528400822,1459.03445309665,1867.40995034454,1662.20653492263,525.261822688973
"npe",0.109402277038934,0.16836823730584,0.265253148668403,0.425579971342707,0.484409177216021,0.391241929444917,98.20466996304,1233.70352853679,1429.18031298741,1816.06372107587,1722.30619345243,548.891591594843
"npe",0.111998514648601,0.173832875321406,0.272606727615256,0.43585811074924,0.4843379437846,0.392978580198467,99.3615020227343,1245.78720308707,1461.28134233499,1773.70510332708,1584.36687326128,529.384276480967
