theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12
1.5578134,-2.8883374,-3.1661496,-0.58561045,1.5995355,-1.7002342,-1.7806118,-0.09484144,0.3245105,1.3711528,2.0649552,4.641809
1.5945482,-2.5648446,-3.0661263,-1.1930193,-1.4496492,-5.499165,-1.7789361,-0.10857014,0.20988762,1.7797786,0.058459762,4.7898116
1.6750339,-2.4642367,-2.918291,-2.5822952,1.7964592,-4.7237043,-1.7767311,-0.10170988,-0.16538274,1.2957313,3.4204383,3.1536598
1.6423551,-2.7493203,-3.5762334,-1.8967505,0.02731013,-4.380417,-1.7674032,-0.09288068,0.23531882,1.7434677,1.2407995,4.7710767
1.5945716,-2.8376741,-3.102544,0.09896771,0.7346108,-2.4126406,-1.7815045,-0.113590054,0.37247095,1.9224175,1.7094195,4.9325414
1.6163733,-2.5970576,-1.9783752,-2.5225792,0.6998462,0.39610144,-1.7722636,-0.09752304,0.31876776,1.2391396,1.4601773,4.9992647
1.6778965,-2.6085317,-2.7298799,-1.8731743,0.31146723,-7.773478,-1.7905202,-0.099833734,0.27596998,1.7439713,0.5986744,4.7356205
1.6121992,-2.549605,-4.4715896,-1.7382994,0.7641467,-8.356019,-1.7822003,-0.11918832,0.3496886,1.6191674,1.2265185,3.1574366
1.5177392,-2.6725152,-2.361148,-1.5231105,0.5061572,-2.0128813,-1.7780735,-0.10435903,0.079793856,1.6118406,0.63450396,4.6810293
1.5193806,-2.6776235,-3.4213812,-1.0346329,0.3577333,-4.716206,-1.7872857,-0.11447166,0.2677263,2.0009153,1.8044443,4.6608562
1.6284764,-2.5185134,-3.719578,-2.139376,1.0888411,-1.1761624,-1.778041,-0.09705388,0.2227819,1.4877455,0.3331193,4.8815684
1.5568544,-2.6872582,-2.8641908,-2.0428634,0.31268916,-5.237384,-1.7668213,-0.108813554,0.16232784,1.5358245,0.8630637,3.9459357
1.56696,-2.6083238,-3.4339387,-0.9754151,-0.3050022,-10.751258,-1.7675302,-0.10586023,0.5599357,1.7189239,1.0059425,3.468232
1.6084459,-2.7299433,-3.6563501,-1.1936309,0.37443236,-2.732974,-1.774002,-0.102186605,0.65551263,1.5906411,2.4949896,3.0404134
1.5970047,-2.7263498,-3.4462543,-0.07584307,0.40036425,-2.2020416,-1.7800398,-0.10182906,-0.4107794,2.0378196,2.9734972,4.1427174
1.5536227,-2.7100012,-2.8933148,-0.4796866,0.34547025,-7.0702395,-1.7746437,-0.099626996,-0.393563,1.6307954,1.6826801,2.8127708
1.6689906,-2.4519985,-2.712166,-1.2443501,0.50345045,-7.847772,-1.7990423,-0.11902167,0.15698475,1.5195928,0.86924875,4.120048
1.6466284,-2.711381,-3.3673513,-0.43451306,-0.3776445,-4.230968,-1.7659445,-0.10168803,0.4579312,1.5848544,1.14953,4.3883414
1.5099834,-2.748823,-2.9165812,0.040362548,0.46320236,-4.142711,-1.772654,-0.09739482,-0.3608535,2.091278,0.77798164,4.464772
1.5104344,-2.6020672,-3.445312,-2.5329034,-0.06371143,-5.4055667,-1.7680718,-0.10451563,0.20232986,1.7712806,-0.7748214,4.768353
1.4758613,-2.557187,-3.20421,-0.040127136,0.16366933,2.5400317,-1.7735221,-0.10797209,0.4416659,1.5284891,0.8787851,7.318101
1.5920485,-2.477734,-3.8626838,-0.26933953,0.025866874,-2.5885062,-1.7569808,-0.12657277,0.3510152,1.6887393,1.2192255,4.270992
1.6679395,-2.7273126,-3.004718,-0.623176,-0.43524343,-8.364922,-1.7692266,-0.07864228,-0.032125484,2.0747066,-1.4894669,3.7544749
1.778674,-2.7834942,-3.980154,-1.085661,1.4260621,-0.5728714,-1.7739024,-0.1044123,-1.3660122,1.5450464,2.5749917,4.1698604
1.5536629,-2.532518,-3.0825665,-0.79801536,0.3025571,-1.8202565,-1.7702492,-0.10218283,0.94088185,1.8369315,2.2333026,3.4864562
1.5973834,-2.585724,-2.9284425,-1.2369343,0.23266838,-3.5794258,-1.7645148,-0.10656423,-0.40648136,1.8615524,2.992596,4.0722094
1.553263,-2.5496798,-4.064022,-0.24960487,2.1109502,-6.6072335,-1.7644588,-0.09731803,0.15118475,1.3218939,3.5757904,3.2381086
1.5784259,-2.4934833,-3.0200002,-0.6131544,0.23536766,-9.1544895,-1.7762938,-0.09753288,0.0012482164,1.9944214,0.0116268145,4.009429
1.5502642,-2.610039,-2.9964414,-0.36452368,-0.14256479,-4.936432,-1.7702831,-0.103231706,0.23399843,2.0188098,-0.20454276,5.0410213
1.7086052,-2.5893724,-4.634701,-0.60670155,-0.47626442,-9.646428,-1.7667987,-0.10589667,-0.20407224,1.5137833,-2.0599258,3.8657181
1.6687856,-2.4157197,-2.0310347,-2.040112,0.4236424,-3.728793,-1.7813799,-0.10758845,0.2852944,1.4916339,1.0774149,4.3103356
1.5909283,-2.7831774,-2.9619992,-1.7706347,0.96732926,-5.527974,-1.7495872,-0.098730065,0.54824287,1.581997,2.0996232,4.533534
1.6422595,-2.6115282,-2.887386,-0.7856015,1.5653625,0.27773723,-1.7877266,-0.11400288,0.57461154,1.6525569,2.4282088,4.9824605
1.6700107,-2.46267,-2.6130965,-1.3156223,0.29621837,-3.7011967,-1.7728679,-0.10839907,0.16609046,1.6972454,1.1835064,4.6067877
1.5865232,-2.6597037,-3.91995,-2.150508,-1.7380831,-7.293896,-1.778118,-0.10107172,0.3323451,1.936263,-4.6468067,4.923747
1.58446,-2.8329947,-3.2528687,-1.8379185,0.20431747,-8.844312,-1.7628336,-0.12243951,0.31286377,1.5846689,1.4684001,4.9107666
1.6668236,-2.5289679,-3.5708942,-2.0937908,0.86639476,1.6823106,-1.7806021,-0.10630338,-0.20078161,1.5487506,2.1406384,5.713039
1.784309,-2.5480778,-2.6628847,-0.62608,0.43391243,-5.0064464,-1.7666372,-0.114691265,-0.23143864,1.924528,-1.6990021,3.6708646
1.6144434,-2.671479,-3.2165766,-2.2554278,1.1969228,-2.7453542,-1.7592981,-0.09819496,0.30610266,1.5422941,2.5665197,4.411811
1.7133574,-2.6571577,-4.2251225,-1.78001,0.3396134,-2.6890106,-1.7836732,-0.08639659,0.17984588,1.3851587,-1.2003279,4.6563034
1.5803782,-2.514727,-3.2529852,-1.881396,2.7302663,-1.3168032,-1.7697495,-0.10574804,0.285812,1.3967806,3.6279042,4.9298596
1.6370645,-2.5888247,-3.4321783,-0.7168253,-0.5231057,-6.0141053,-1.7925946,-0.09907243,0.20390372,1.8715311,-2.3410087,4.981646
1.7252729,-2.4716704,-3.1598027,-0.15902591,0.06921446,-0.97493404,-1.7895995,-0.07920303,-0.14734896,1.9202086,-1.2230614,4.474369
1.6494864,-2.6521647,-3.7619872,-1.1284848,-0.6420837,-8.322253,-1.7771411,-0.09977139,0.36788866,1.8520265,-0.13972846,5.0937057
1.6648973,-2.525778,-2.2749803,-3.7460396,2.51743,-10.996633,-1.7550726,-0.10426357,-0.4469411,1.213447,4.1494327,1.5029899
