"p1","p2","p3","p4","p5","p6","N1","N2","N3","N4","N5","N6"
0.0463466526724079,0.700871669012727,0.884229784187527,0.91496272681483,0.917665866912669,0.867728779058292,39411.4018875515,33101.4953094547,15568.3639203784,6775.01511902142,2512.86185136295,579.702276591688
0.0391330559071212,0.668928615991329,0.561748863813893,0.883465832666113,0.95398383158406,0.879423711342012,1585.11926924742,767.71767687155,633.286697895109,810.818785782061,367.758554313682,104.224445500176
0.00259612065994103,0.996043669948859,0.998386003384362,0.999077041557981,0.99839061912664,0.997914235545224,2077.85214389736,89994.2057623705,45142.7319789709,19638.5878840339,7195.30255113964,1543.91796093921
0.0459305887503086,0.960525519770121,0.986790572380137,0.991270118971094,0.991724949815603,0.992715503237076,1275.79195047671,1263203.31506451,634331.61257279,276607.213715788,101471.049222556,21784.7818795727
0.00207170216651182,0.66569683143723,0.904103299930916,0.779478020496104,0.222984921017375,0.383464025759939,12452.1298660523,5962.78629192624,3745.7908183533,2675.00626279925,4293.05481600179,1145.46095132236
0.534622102586099,0.970599977260701,0.80958696953752,0.940849618320136,0.973854733112835,0.980391355577073,166.912555387065,843.88205440607,9347.55982462102,6506.85427851089,2660.72199023657,591.318910523928
0.0108795360262412,0.795236781802621,0.950639777248891,0.957386413746227,0.947628735674031,0.965601984971554,329.830976163377,236.928389733302,1021.92210703011,1007.72228186365,440.092223838298,108.047965888817
0.0580113666751818,0.399159475982152,0.880248022651919,0.892664268824928,0.647931229318626,0.735843779872518,564.905102371346,1849.07860928117,1574.83450740436,801.501840214822,432.987785688619,102.720149978563
0.138263386878043,0.40999073448867,0.782602134841558,0.93358682125945,0.958510918038212,0.96348404946748,181429.3201723,100312.602542477,44854.8987708694,27291.6973900049,10871.0102514821,2396.29053252329
0.0796191403883479,0.979606020464714,0.962062367275823,0.983867524844283,0.989689493144537,0.990796860453596,1039.74331384478,232624.768932283,119429.301833819,52550.8982587725,19329.3558916467,4157.17034357801
0.653057020905902,0.896743984505593,0.965082565825037,0.967010962507721,0.896310589102763,0.843875917673672,13369.8298324166,6395.57906368124,3123.06085869046,1360.10269853241,538.852264586609,123.2719129151
0.00265303883632315,0.0331797344824562,0.675218483853682,0.331968576871418,0.667661280757231,0.739123774644033,331.498092530835,3620.89276163871,2609.7792802113,5886.56379454061,2767.30158850188,640.685645904372
